iter	TotalF1	Logloss
0	0.8393855526	0.5051250786
1	0.8319266493	0.431521977
2	0.8445771367	0.3904534992
3	0.8462862943	0.3673871649
4	0.8503486428	0.3521174157
5	0.8509160078	0.3427240535
6	0.8522239527	0.3349635416
7	0.8554380056	0.3295531408
8	0.8555580829	0.3258403648
9	0.8595493798	0.3225994363
10	0.8605012854	0.3193481858
11	0.8606900223	0.3185941258
12	0.8612111195	0.3165745135
13	0.862505006	0.3153284862
14	0.8629052835	0.314590202
15	0.8634060323	0.3133237802
16	0.8637539701	0.3121579941
17	0.8636218733	0.3101061432
18	0.8637291447	0.3093100378
19	0.8639156836	0.3086484209
20	0.864437513	0.3079257502
21	0.8651971576	0.3068704318
22	0.8670710456	0.3052006297
23	0.8674044098	0.3047511857
24	0.867649076	0.3039846837
25	0.8678791006	0.303557913
26	0.8677613896	0.3028366284
27	0.8683720609	0.3013144871
28	0.869039577	0.300618004
29	0.8695594833	0.2999971869
30	0.8706454159	0.2990550981
31	0.8704790434	0.298787908
32	0.8700943807	0.298043901
33	0.8703315302	0.2972545957
34	0.8704350367	0.2968230037
35	0.8701861127	0.2966347079
36	0.8712027326	0.2959592462
37	0.8713271592	0.2953921504
38	0.8715344706	0.2952614778
39	0.8715343428	0.2947281644
40	0.8726254549	0.2933023154
41	0.8727502548	0.2930797805
42	0.8724323508	0.2920725282
43	0.8727195504	0.2912979499
44	0.8726924095	0.2912929056
45	0.8728172429	0.2910427927
46	0.8727480302	0.290766672
47	0.8732101557	0.2906552955
48	0.8732523388	0.2904601588
49	0.8732177061	0.2904570816
50	0.873140905	0.2903547346
51	0.8731062833	0.2903528294
52	0.8730581258	0.2902273684
53	0.8730581258	0.2902257242
54	0.8739189912	0.2895591417
55	0.8740575587	0.2895575527
56	0.8740309064	0.2895238184
57	0.8738843555	0.2892908621
58	0.8745104111	0.289014702
59	0.8743614255	0.2886626249
60	0.8744359527	0.2884227729
61	0.8745715678	0.2878822644
62	0.8745236597	0.2878808446
63	0.8748060725	0.2876173539
64	0.87486374	0.2874472042
65	0.8750718347	0.2873893493
66	0.8751890728	0.287224831
67	0.8751412195	0.2869468847
68	0.8752763225	0.2867534269
69	0.8754544575	0.2865708648
70	0.8754544575	0.2865671684
71	0.8755762009	0.2860107256
72	0.8759234796	0.2858512011
73	0.8758757531	0.2858469323
74	0.875910472	0.2855779349
75	0.8760795986	0.2854310967
76	0.8759841923	0.2853390689
77	0.8761230947	0.2853352789
78	0.8759234796	0.2852245874
79	0.8759582003	0.2852224876
80	0.8763009542	0.2849736559
81	0.8761708082	0.2849051522
82	0.876305544	0.2844834768
83	0.8762577972	0.284481685
84	0.8763272922	0.2844758709
85	0.8763620434	0.2844490795
86	0.8762795356	0.2842367671
87	0.8763230018	0.2840208239
88	0.8766961795	0.2838635863
89	0.8771858569	0.283634835
90	0.8771858569	0.2836338845
91	0.8771162961	0.2836307454
92	0.8772939704	0.2835830584
93	0.8769681525	0.2829695064
94	0.8769552989	0.2829428684
95	0.8769295697	0.2829390421
96	0.877142004	0.2829187096
97	0.8775320065	0.2826546331
98	0.8773763788	0.282608031
99	0.8773964323	0.2825277279
100	0.877583137	0.28235369
101	0.8777130423	0.2821211555
102	0.8775703652	0.2818859061
103	0.8776188094	0.2812454572
104	0.8775459255	0.2812285386
105	0.8775807035	0.281226028
106	0.8776154839	0.2811994395
107	0.877830757	0.2810749409
108	0.877716951	0.2809943279
109	0.877941411	0.280912867
110	0.8777991581	0.2807398728
111	0.8777546303	0.2805891626
112	0.8779351304	0.2804277971
113	0.8779224626	0.2803154835
114	0.8782705424	0.2801258033
115	0.8782767728	0.2798548599
116	0.8784064451	0.2795211587
117	0.8790697888	0.2790064248
118	0.8791966787	0.2788425959
119	0.8791966787	0.278840159
120	0.8788330158	0.2787743459
121	0.8790671099	0.2786507935
122	0.8790322645	0.2786503462
123	0.8793288021	0.2785423169
124	0.8793761182	0.278538691
125	0.8793761182	0.2785364959
126	0.8795653225	0.2784725166
127	0.8798590515	0.2782350621
128	0.8798241755	0.2782326778
129	0.8794282979	0.2780055956
130	0.8794631473	0.2776721715
131	0.8794979992	0.2776255168
132	0.8796622268	0.277380312
133	0.8795452569	0.277249026
134	0.8794182564	0.2771201967
135	0.8793361721	0.2768553426
136	0.8793361721	0.2768538986
137	0.8793361721	0.2767548621
138	0.8793934509	0.2767078083
139	0.8791819819	0.2765221254
140	0.8792640872	0.2764764654
141	0.8793810377	0.2764334765
142	0.8791446474	0.2763438069
143	0.8791446474	0.2763413759
144	0.8791446474	0.2763409574
145	0.8791446474	0.2763362435
146	0.8792864995	0.2763336149
147	0.8795452569	0.2762685886
148	0.8797589518	0.2757293303
149	0.8796993672	0.2756934087
150	0.8798061643	0.2755798941
151	0.8800625986	0.2753944308
152	0.8800502599	0.2753742829
153	0.8799456326	0.2753258539
154	0.8799456326	0.2752577685
155	0.8797117334	0.2751787434
156	0.88052405	0.2745865935
157	0.8802882887	0.2745513527
158	0.8803948759	0.2743271054
159	0.8803948759	0.2743228763
160	0.8804769096	0.2741649376
161	0.8801733343	0.2740363382
162	0.8801733343	0.2738628587
163	0.8801384636	0.2737863428
164	0.8801856037	0.2736366124
165	0.8800441654	0.2735187233
166	0.8800441654	0.2735158161
167	0.8801035952	0.2734420135
168	0.8802449928	0.2732728979
169	0.8801978662	0.2732536908
170	0.8801507337	0.2732387447
171	0.8799724005	0.273154308
172	0.8800008358	0.272940572
173	0.8806391397	0.2723506729
174	0.8806268801	0.2723113571
175	0.8806740444	0.2722165712
176	0.8808381792	0.271978226
177	0.8809796113	0.271874418
178	0.8805448085	0.2717600354
179	0.8812590479	0.2716316744
180	0.8811193096	0.2714613779
181	0.8810494555	0.2714035013
182	0.8813549455	0.2713012373
183	0.8816375132	0.2711201668
184	0.8817195385	0.2709833093
185	0.8818956889	0.2707908192
186	0.8819306504	0.2706483105
187	0.8819306504	0.2706428479
188	0.8820826103	0.270557111
189	0.8821054953	0.2705455941
190	0.8821175835	0.2705419134
191	0.8821175835	0.2705234465
192	0.8822116902	0.2704853401
193	0.882095931	0.2702264899
194	0.882060966	0.2702156569
195	0.8822719535	0.270190763
196	0.8822719535	0.2701688694
197	0.8822719535	0.2701521457
198	0.8823069285	0.2701292503
199	0.8823998328	0.2698449891
200	0.8823636846	0.2697245874
201	0.882457766	0.2696802165
202	0.8824227769	0.2696641721
203	0.88267979	0.2695465649
204	0.8827158577	0.2694008939
205	0.8827038419	0.2693995139
206	0.8828108348	0.2692763236
207	0.8828578104	0.2692756415
208	0.8826818701	0.2691919631
209	0.8826938605	0.2690751228
210	0.8827408386	0.2690720741
211	0.8828347771	0.2690713272
212	0.8826348786	0.2689122911
213	0.8827758355	0.2689102974
214	0.8827518646	0.2688328678
215	0.8827518646	0.2688321149
216	0.8827518646	0.2688294113
217	0.8828697773	0.2687024497
218	0.8828808411	0.2686028524
219	0.88292782	0.2686020361
220	0.8828448821	0.2685371228
221	0.8827988536	0.2684289797
222	0.8827518646	0.2683756304
223	0.8827988536	0.2683183975
224	0.8835849094	0.2678888802
225	0.8835849094	0.2678863734
226	0.8827067655	0.267721616
227	0.8826487533	0.2676879916
228	0.8835972827	0.2675894609
229	0.8828825809	0.2675306931
230	0.8833979161	0.2673903651
231	0.883457203	0.2672861426
232	0.883457203	0.2672844149
233	0.8835158857	0.267271726
234	0.8835859222	0.2670996084
235	0.8837146273	0.2670627128
236	0.8837496551	0.2670619905
237	0.8837968354	0.2669515435
238	0.8837850502	0.2669507245
239	0.8837382324	0.2669499655
240	0.8836563867	0.2669118121
241	0.8837850502	0.2666759219
242	0.8842061501	0.2666305935
243	0.8842293064	0.2665310571
244	0.8843580504	0.266472607
245	0.8839257098	0.2662945415
246	0.8837385691	0.2662426065
247	0.883785363	0.266164669
248	0.8841593844	0.2660910434
249	0.8840190526	0.2658783718
250	0.8842529101	0.265512107
251	0.8844398629	0.2654340549
252	0.8845333669	0.2653311356
253	0.8845333669	0.2653229993
254	0.8846267814	0.2652161455
255	0.8844982966	0.265121584
256	0.8846618388	0.2649910848
257	0.8849886849	0.2648073672
258	0.8846615421	0.2647100199
259	0.8846965919	0.2645718903
260	0.8846849731	0.2645666308
261	0.88459145	0.2645268702
262	0.884439671	0.2644016407
263	0.884264675	0.264226115
264	0.8844982966	0.2641534101
265	0.8844982966	0.2641527201
266	0.8844982966	0.2641013472
267	0.8844398695	0.263927441
268	0.8844048262	0.2639263668
269	0.8843230758	0.2637829122
270	0.8842880391	0.2637009385
271	0.8842880391	0.2636848924
272	0.8843697854	0.2636808867
273	0.8843814494	0.2636722546
274	0.8842763444	0.2635878052
275	0.8842763444	0.263581788
276	0.8843347471	0.2635055121
277	0.8842763444	0.2634763314
278	0.8844866229	0.263234105
279	0.8844165254	0.2631755161
280	0.8845799738	0.263128721
281	0.8847201915	0.2631045056
282	0.8845450144	0.2630988627
283	0.8846851333	0.2630983486
284	0.8846851333	0.2630945857
285	0.884766888	0.2630210927
286	0.8850706944	0.2629025515
287	0.8855142343	0.2626822924
288	0.8856203516	0.2625245505
289	0.8855501263	0.2624961188
290	0.8858191096	0.2623673301
291	0.8861227847	0.2622086946
292	0.8861573457	0.2620827466
293	0.8861573457	0.2619448476
294	0.8856901949	0.2618068314
295	0.8857253112	0.2616980464
296	0.8861688532	0.2615416609
297	0.8861924834	0.2614216563
298	0.8863094154	0.2613421061
299	0.8862627664	0.2613177391
300	0.8864973314	0.2612504321
301	0.8861343115	0.2610742446
302	0.8862391293	0.261002083
303	0.8862857693	0.2609714379
304	0.8862857693	0.2609059124
305	0.8858773597	0.2607671801
306	0.8860058426	0.2607303736
307	0.8859822483	0.2607296355
308	0.8861809705	0.260656234
309	0.8860525114	0.2606355505
310	0.8860991745	0.260573946
311	0.8861227847	0.2604566906
312	0.88621549	0.2603616517
313	0.8858181693	0.2602204693
314	0.8858181693	0.2602198604
315	0.885795093	0.2601957241
316	0.8859701767	0.2600403207
317	0.8858537868	0.2599606896
318	0.8859240384	0.2599603347
319	0.8860178867	0.2599157515
320	0.8859240384	0.2598514681
321	0.8860173786	0.2598341236
322	0.8860289081	0.2598336852
323	0.8860289081	0.2598319091
324	0.8860991745	0.2598212899
325	0.8864141789	0.2597376281
326	0.8864256551	0.2596946869
327	0.8864256551	0.2596931134
328	0.8864722722	0.2596870074
329	0.8863905093	0.2596347306
330	0.8865540351	0.2595458674
331	0.8867166974	0.2594537079
332	0.8866595047	0.2593374563
333	0.8866006423	0.2592652663
334	0.886682401	0.2592009875
335	0.8866938396	0.2592005212
336	0.8866938396	0.2591999399
337	0.8865654892	0.2591610727
338	0.8865769369	0.2590997643
339	0.8866357979	0.2589962213
340	0.8867746848	0.2589101131
341	0.8867746848	0.2589055675
342	0.8868915682	0.2588048791
343	0.8868915682	0.2588025322
344	0.886973294	0.2587830234
345	0.8870198497	0.2587823748
346	0.8871491614	0.2587275154
347	0.8870911947	0.2586672609
348	0.8874159447	0.2585883266
349	0.8874863197	0.2584325909
350	0.8874863197	0.2584320044
351	0.8874863197	0.2584277716
352	0.8874863197	0.2584200383
353	0.8874863197	0.2584189076
354	0.8874397976	0.2584181764
355	0.8874397976	0.2584035821
356	0.8874976458	0.2583457016
357	0.8875906583	0.2582765698
358	0.8877905514	0.2581279487
359	0.8879300779	0.258098619
360	0.8878722772	0.2580671231
361	0.8877905514	0.2580383126
362	0.8879413619	0.2579806336
363	0.8879413619	0.2579801074
364	0.887977926	0.2579192204
365	0.8880244412	0.2579177668
366	0.8879314051	0.2578355495
367	0.8879200967	0.2578269294
368	0.8878735628	0.2578190654
369	0.8879200967	0.2578117737
370	0.8880483712	0.2577983723
371	0.8879666249	0.2577971962
372	0.8879314051	0.2576970699
373	0.8877679207	0.2576748622
374	0.8879427072	0.2576255207
375	0.8879652923	0.2576092801
376	0.8882231403	0.2575285089
377	0.8883386449	0.25736839
378	0.8882329553	0.2573605451
379	0.8881752181	0.2573017289
380	0.8881864774	0.2572983203
381	0.8882666736	0.2572331509
382	0.888244201	0.2571936253
383	0.8882089771	0.2571934827
