iter	Passed	Remaining
0	51	103373
1	54	54881
2	57	38540
3	61	30506
4	63	25365
5	65	21885
6	68	19587
7	71	17737
8	74	16374
9	77	15336
10	79	14381
11	82	13646
12	85	13038
13	88	12511
14	90	12006
15	93	11567
16	96	11228
17	99	10914
18	101	10614
19	104	10337
20	107	10108
21	110	9892
22	112	9672
23	115	9493
24	118	9335
25	120	9139
26	122	8986
27	125	8835
28	128	8710
29	130	8580
30	133	8476
31	135	8362
32	138	8261
33	141	8178
34	143	8073
35	146	7966
36	148	7891
37	152	7848
38	154	7787
39	157	7716
40	159	7642
41	162	7558
42	164	7505
43	167	7463
44	169	7384
45	172	7315
46	174	7257
47	177	7212
48	179	7159
49	181	7095
50	184	7048
51	186	6988
52	189	6949
53	191	6892
54	193	6853
55	195	6801
56	198	6751
57	200	6717
58	203	6695
59	206	6670
60	208	6637
61	211	6616
62	213	6572
63	216	6563
64	219	6526
65	222	6510
66	224	6475
67	227	6459
68	229	6432
69	232	6406
70	234	6370
71	237	6355
72	240	6340
73	242	6305
74	245	6288
75	247	6259
76	249	6241
77	252	6210
78	254	6195
79	256	6167
80	259	6155
81	261	6128
82	264	6111
83	267	6091
84	269	6063
85	271	6043
86	274	6034
87	277	6025
88	279	6002
89	282	5988
90	284	5963
91	286	5939
92	288	5922
93	291	5913
94	294	5897
95	296	5874
96	298	5852
97	301	5846
98	303	5833
99	306	5814
100	308	5803
101	311	5800
102	314	5787
103	317	5782
104	319	5763
105	321	5744
106	324	5738
107	326	5726
108	329	5721
109	332	5713
110	334	5700
111	337	5693
112	340	5680
113	343	5676
114	345	5670
115	348	5665
116	351	5655
117	353	5644
118	356	5638
119	358	5622
120	361	5610
121	364	5604
122	366	5593
123	369	5588
124	371	5577
125	373	5561
126	376	5551
127	378	5541
128	381	5526
129	383	5522
130	386	5518
131	389	5511
132	391	5498
133	394	5494
134	397	5486
135	399	5480
136	401	5466
137	404	5456
138	406	5443
139	409	5434
140	411	5426
141	414	5420
142	416	5412
143	418	5399
144	421	5391
145	423	5381
146	426	5371
147	428	5368
148	432	5367
149	435	5366
150	437	5360
151	440	5356
152	443	5350
153	446	5346
154	448	5338
155	451	5334
156	453	5326
157	456	5320
158	459	5316
159	461	5303
160	464	5300
161	466	5294
162	469	5287
163	471	5279
164	474	5275
165	476	5265
166	479	5260
167	481	5254
168	484	5249
169	486	5242
170	489	5234
171	492	5229
172	494	5226
173	497	5224
174	500	5220
175	503	5216
