step,mloss,gloss,loss
100.0,0.0,0.5523,0.5523
200.0,0.0,0.4408,0.4408
300.0,0.0,0.4356,0.4356
400.0,0.0,0.432,0.432
500.0,0.0,0.4295,0.4295
600.0,0.0,0.4286,0.4286
700.0,0.0,0.4271,0.4271
800.0,0.0,0.4246,0.4246
900.0,0.0,0.423,0.423
1000.0,0.0,0.4218,0.4218
1100.0,0.0,0.4202,0.4202
1200.0,0.0,0.4204,0.4204
1300.0,0.0,0.4174,0.4174
1400.0,0.0,0.4163,0.4163
1500.0,0.0,0.4177,0.4177
1600.0,0.0,0.416,0.416
1700.0,0.0,0.4172,0.4172
1800.0,0.0,0.4149,0.4149
1900.0,0.0,0.4146,0.4146
2000.0,0.0,0.4157,0.4157
2100.0,0.0,0.4141,0.4141
2200.0,0.0,0.4136,0.4136
2300.0,0.0,0.4121,0.4121
2400.0,0.0,0.4141,0.4141
2500.0,0.0,0.4141,0.4141
2600.0,0.0,0.413,0.413
2700.0,0.0,0.412,0.412
2800.0,0.0,0.412,0.412
2900.0,0.0,0.4127,0.4127
3000.0,0.0,0.4118,0.4118
3100.0,0.0,0.4117,0.4117
3200.0,0.0,0.4124,0.4124
3300.0,0.0,0.4106,0.4106
3400.0,0.0,0.4114,0.4114
3500.0,0.0,0.411,0.411
3600.0,0.0,0.41,0.41
3700.0,0.0,0.4099,0.4099
3800.0,0.0,0.4102,0.4102
3900.0,0.0,0.4099,0.4099
4000.0,0.0,0.4102,0.4102
4100.0,0.0,0.4091,0.4091
4200.0,0.0,0.4097,0.4097
4300.0,0.0,0.4076,0.4076
4400.0,0.0,0.41,0.41
4500.0,0.0,0.4092,0.4092
4600.0,0.0,0.4091,0.4091
4700.0,0.0,0.4084,0.4084
4800.0,0.0,0.4074,0.4074
4900.0,0.0,0.4078,0.4078
5000.0,0.0,0.4078,0.4078
5100.0,0.0,0.4084,0.4084
5200.0,0.0,0.4076,0.4076
5300.0,0.0,0.4073,0.4073
5400.0,0.0,0.4074,0.4074
5500.0,0.0,0.4063,0.4063
5600.0,0.0,0.4068,0.4068
5700.0,0.0,0.4078,0.4078
5800.0,0.0,0.4069,0.4069
5900.0,0.0,0.4067,0.4067
6000.0,0.0,0.407,0.407
6100.0,0.0,0.407,0.407
6200.0,0.0,0.4065,0.4065
6300.0,0.0,0.4058,0.4058
6400.0,0.0,0.4051,0.4051
6500.0,0.0,0.4062,0.4062
6600.0,0.0,0.4056,0.4056
6700.0,0.0,0.4058,0.4058
6800.0,0.0,0.4053,0.4053
6900.0,0.0,0.4053,0.4053
7000.0,0.0,0.4044,0.4044
7100.0,0.0,0.4044,0.4044
7200.0,0.0,0.4051,0.4051
7300.0,0.0,0.4051,0.4051
7400.0,0.0,0.4061,0.4061
7500.0,0.0,0.4057,0.4057
7600.0,0.0,0.4051,0.4051
7700.0,0.0,0.4046,0.4046
7800.0,0.0,0.4039,0.4039
7900.0,0.0,0.4045,0.4045
8000.0,0.0,0.4048,0.4048
8100.0,0.0,0.4026,0.4026
8200.0,0.0,0.4032,0.4032
8300.0,0.0,0.4041,0.4041
8400.0,0.0,0.4037,0.4037
8500.0,0.0,0.4023,0.4023
8600.0,0.0,0.4026,0.4026
8700.0,0.0,0.4046,0.4046
8800.0,0.0,0.4035,0.4035
8900.0,0.0,0.4025,0.4025
9000.0,0.0,0.4031,0.4031
9100.0,0.0,0.4033,0.4033
9200.0,0.0,0.4025,0.4025
9300.0,0.0,0.4024,0.4024
9400.0,0.0,0.4025,0.4025
9500.0,0.0,0.4021,0.4021
9600.0,0.0,0.4025,0.4025
9700.0,0.0,0.4017,0.4017
9800.0,0.0,0.4029,0.4029
9900.0,0.0,0.4026,0.4026
10000.0,0.0,0.4011,0.4011
10100.0,0.0,0.4015,0.4015
10200.0,0.0,0.4013,0.4013
10300.0,0.0,0.4007,0.4007
10400.0,0.0,0.4026,0.4026
10500.0,0.0,0.4017,0.4017
10600.0,0.0,0.4009,0.4009
10700.0,0.0,0.4015,0.4015
10800.0,0.0,0.4015,0.4015
10900.0,0.0,0.4015,0.4015
11000.0,0.0,0.4,0.4
11100.0,0.0,0.4006,0.4006
11200.0,0.0,0.4009,0.4009
11300.0,0.0,0.3999,0.3999
11400.0,0.0,0.4017,0.4017
11500.0,0.0,0.3996,0.3996
11600.0,0.0,0.4013,0.4013
11700.0,0.0,0.4001,0.4001
11800.0,0.0,0.4009,0.4009
11900.0,0.0,0.4007,0.4007
12000.0,0.0,0.3996,0.3996
12100.0,0.0,0.4005,0.4005
12200.0,0.0,0.4001,0.4001
12300.0,0.0,0.3998,0.3998
12400.0,0.0,0.4001,0.4001
12500.0,0.0,0.3992,0.3992
12600.0,0.0,0.4006,0.4006
12700.0,0.0,0.3985,0.3985
12800.0,0.0,0.3997,0.3997
12900.0,0.0,0.3986,0.3986
13000.0,0.0,0.3988,0.3988
13100.0,0.0,0.3985,0.3985
13200.0,0.0,0.399,0.399
13300.0,0.0,0.3987,0.3987
13400.0,0.0,0.3977,0.3977
13500.0,0.0,0.3974,0.3974
13600.0,0.0,0.3984,0.3984
13700.0,0.0,0.3985,0.3985
13800.0,0.0,0.397,0.397
13900.0,0.0,0.3987,0.3987
14000.0,0.0,0.3977,0.3977
14100.0,0.0,0.3981,0.3981
14200.0,0.0,0.3982,0.3982
14300.0,0.0,0.3979,0.3979
14400.0,0.0,0.3969,0.3969
14500.0,0.0,0.3978,0.3978
14600.0,0.0,0.3972,0.3972
14700.0,0.0,0.397,0.397
14800.0,0.0,0.3982,0.3982
14900.0,0.0,0.3982,0.3982
15000.0,0.0,0.3969,0.3969
15100.0,0.0,0.3968,0.3968
15200.0,0.0,0.3966,0.3966
15300.0,0.0,0.3973,0.3973
15400.0,0.0,0.3965,0.3965
15500.0,0.0,0.3964,0.3964
15600.0,0.0,0.3975,0.3975
15700.0,0.0,0.396,0.396
15800.0,0.0,0.3964,0.3964
15900.0,0.0,0.3962,0.3962
16000.0,0.0,0.3965,0.3965
16100.0,0.0,0.3956,0.3956
16200.0,0.0,0.397,0.397
16300.0,0.0,0.3965,0.3965
16400.0,0.0,0.3966,0.3966
16500.0,0.0,0.3954,0.3954
16600.0,0.0,0.3968,0.3968
16700.0,0.0,0.3956,0.3956
16800.0,0.0,0.3953,0.3953
16900.0,0.0,0.3948,0.3948
17000.0,0.0,0.3955,0.3955
17100.0,0.0,0.3959,0.3959
17200.0,0.0,0.3961,0.3961
17300.0,0.0,0.3939,0.3939
17400.0,0.0,0.3956,0.3956
17500.0,0.0,0.394,0.394
17600.0,0.0,0.3937,0.3937
17700.0,0.0,0.3954,0.3954
17800.0,0.0,0.3953,0.3953
17900.0,0.0,0.3948,0.3948
18000.0,0.0,0.394,0.394
18100.0,0.0,0.3954,0.3954
18200.0,0.0,0.3947,0.3947
18300.0,0.0,0.395,0.395
18400.0,0.0,0.3938,0.3938
18500.0,0.0,0.3947,0.3947
18600.0,0.0,0.3936,0.3936
18700.0,0.0,0.3946,0.3946
18800.0,0.0,0.3941,0.3941
18900.0,0.0,0.3934,0.3934
19000.0,0.0,0.3948,0.3948
19100.0,0.0,0.3939,0.3939
19200.0,0.0,0.3923,0.3923
19300.0,0.0,0.3941,0.3941
19400.0,0.0,0.3933,0.3933
19500.0,0.0,0.3936,0.3936
19600.0,0.0,0.3941,0.3941
19700.0,0.0,0.3931,0.3931
19800.0,0.0,0.3927,0.3927
19900.0,0.0,0.3925,0.3925
20000.0,0.0,0.3936,0.3936
20100.0,0.0,0.3931,0.3931
20200.0,0.0,0.3932,0.3932
20300.0,0.0,0.3928,0.3928
20400.0,0.0,0.393,0.393
20500.0,0.0,0.3925,0.3925
20600.0,0.0,0.3914,0.3914
20700.0,0.0,0.3924,0.3924
20800.0,0.0,0.3927,0.3927
20900.0,0.0,0.3922,0.3922
21000.0,0.0,0.391,0.391
21100.0,0.0,0.3923,0.3923
21200.0,0.0,0.3925,0.3925
21300.0,0.0,0.3917,0.3917
21400.0,0.0,0.3922,0.3922
21500.0,0.0,0.3927,0.3927
21600.0,0.0,0.3916,0.3916
21700.0,0.0,0.3931,0.3931
21800.0,0.0,0.3913,0.3913
21900.0,0.0,0.3909,0.3909
22000.0,0.0,0.391,0.391
22100.0,0.0,0.3912,0.3912
22200.0,0.0,0.3908,0.3908
22300.0,0.0,0.3922,0.3922
22400.0,0.0,0.3912,0.3912
22500.0,0.0,0.3917,0.3917
22600.0,0.0,0.3912,0.3912
22700.0,0.0,0.3905,0.3905
22800.0,0.0,0.3909,0.3909
22900.0,0.0,0.3919,0.3919
23000.0,0.0,0.3905,0.3905
23100.0,0.0,0.3906,0.3906
23200.0,0.0,0.3914,0.3914
23300.0,0.0,0.3912,0.3912
23400.0,0.0,0.391,0.391
23500.0,0.0,0.3908,0.3908
23600.0,0.0,0.3905,0.3905
23700.0,0.0,0.3908,0.3908
23800.0,0.0,0.3904,0.3904
23900.0,0.0,0.3899,0.3899
24000.0,0.0,0.3894,0.3894
24100.0,0.0,0.3887,0.3887
24200.0,0.0,0.3912,0.3912
24300.0,0.0,0.3899,0.3899
24400.0,0.0,0.3908,0.3908
24500.0,0.0,0.3902,0.3902
24600.0,0.0,0.389,0.389
24700.0,0.0,0.3896,0.3896
24800.0,0.0,0.3897,0.3897
24900.0,0.0,0.3895,0.3895
25000.0,0.0,0.3888,0.3888
25100.0,0.0,0.3893,0.3893
25200.0,0.0,0.3899,0.3899
25300.0,0.0,0.389,0.389
25400.0,0.0,0.3893,0.3893
25500.0,0.0,0.3892,0.3892
25600.0,0.0,0.3896,0.3896
25700.0,0.0,0.3895,0.3895
25800.0,0.0,0.3895,0.3895
25900.0,0.0,0.3891,0.3891
26000.0,0.0,0.388,0.388
26100.0,0.0,0.3885,0.3885
26200.0,0.0,0.3884,0.3884
26300.0,0.0,0.3904,0.3904
26400.0,0.0,0.3886,0.3886
26500.0,0.0,0.389,0.389
26600.0,0.0,0.3891,0.3891
26700.0,0.0,0.3877,0.3877
26800.0,0.0,0.388,0.388
26900.0,0.0,0.3883,0.3883
27000.0,0.0,0.3872,0.3872
27100.0,0.0,0.3877,0.3877
27200.0,0.0,0.3876,0.3876
27300.0,0.0,0.3887,0.3887
27400.0,0.0,0.3866,0.3866
27500.0,0.0,0.3877,0.3877
27600.0,0.0,0.3878,0.3878
27700.0,0.0,0.3885,0.3885
27800.0,0.0,0.3873,0.3873
27900.0,0.0,0.3875,0.3875
28000.0,0.0,0.3877,0.3877
28100.0,0.0,0.3872,0.3872
28200.0,0.0,0.3878,0.3878
28300.0,0.0,0.3872,0.3872
28400.0,0.0,0.3871,0.3871
28500.0,0.0,0.3868,0.3868
28600.0,0.0,0.3866,0.3866
28700.0,0.0,0.3875,0.3875
28800.0,0.0,0.3872,0.3872
28900.0,0.0,0.3864,0.3864
29000.0,0.0,0.3867,0.3867
29100.0,0.0,0.3864,0.3864
29200.0,0.0,0.387,0.387
29300.0,0.0,0.3868,0.3868
29400.0,0.0,0.3873,0.3873
29500.0,0.0,0.3867,0.3867
29600.0,0.0,0.3868,0.3868
29700.0,0.0,0.3859,0.3859
29800.0,0.0,0.3865,0.3865
29900.0,0.0,0.3868,0.3868
30000.0,0.0,0.3865,0.3865
