step,mloss,gloss,loss
100.0,0.7595,1.0001,1.7595999999999998
200.0,0.7422,0.9826,1.7248
300.0,0.734,0.9153,1.6493
400.0,0.7289,0.8156,1.5445
500.0,0.7266,0.7657,1.4923000000000002
600.0,0.7239,0.7037,1.4276
700.0,0.7255,0.6568,1.3823
800.0,0.7228,0.6446,1.3674
900.0,0.7244,0.6239,1.3483
1000.0,0.7216,0.5762,1.2978
1100.0,0.7262,0.5752,1.3014000000000001
1200.0,0.7213,0.5451,1.2664
1300.0,0.7237,0.5053,1.229
1400.0,0.7198,0.4999,1.2197
1500.0,0.7188,0.4691,1.1879
1600.0,0.7132,0.4589,1.1721
1700.0,0.7176,0.4434,1.161
1800.0,0.7105,0.4212,1.1317
1900.0,0.7143,0.4085,1.1228
2000.0,0.7098,0.403,1.1128
2100.0,0.7112,0.3983,1.1095000000000002
2200.0,0.7117,0.3969,1.1086
2300.0,0.7139,0.3949,1.1088
2400.0,0.7052,0.3898,1.095
2500.0,0.7108,0.3895,1.1003
2600.0,0.7093,0.3893,1.0986
2700.0,0.7056,0.3868,1.0924
2800.0,0.7051,0.385,1.0901
2900.0,0.705,0.3849,1.0899
3000.0,0.7117,0.3857,1.0974
3100.0,0.7008,0.3846,1.0854
3200.0,0.6989,0.381,1.0798999999999999
3300.0,0.7076,0.381,1.0886
3400.0,0.7013,0.3838,1.0851
3500.0,0.7056,0.3808,1.0864
3600.0,0.7051,0.3803,1.0854
3700.0,0.7005,0.3806,1.0811
3800.0,0.7001,0.3787,1.0788
3900.0,0.6946,0.3803,1.0749
4000.0,0.6986,0.3794,1.078
4100.0,0.7046,0.3806,1.0852
4200.0,0.6962,0.3779,1.0741
4300.0,0.6954,0.3798,1.0752000000000002
4400.0,0.6971,0.3794,1.0765
4500.0,0.6951,0.3786,1.0737
4600.0,0.6992,0.3766,1.0758
4700.0,0.6925,0.3786,1.0711
4800.0,0.6968,0.3775,1.0743
4900.0,0.6915,0.3779,1.0694
5000.0,0.6912,0.3776,1.0688
5100.0,0.6829,0.3758,1.0587
5200.0,0.6881,0.3758,1.0639
5300.0,0.6929,0.3795,1.0724
5400.0,0.6875,0.3759,1.0634000000000001
5500.0,0.6818,0.3778,1.0596
5600.0,0.6874,0.3758,1.0632000000000001
5700.0,0.6842,0.3774,1.0616
5800.0,0.6819,0.3773,1.0592
5900.0,0.6839,0.3762,1.0600999999999998
6000.0,0.682,0.377,1.0590000000000002
6100.0,0.6877,0.3775,1.0652
6200.0,0.6788,0.3764,1.0552
6300.0,0.6844,0.3773,1.0617
6400.0,0.6826,0.376,1.0586
6500.0,0.6842,0.3756,1.0598
6600.0,0.6782,0.3754,1.0536
6700.0,0.6776,0.3749,1.0525
6800.0,0.674,0.3742,1.0482
6900.0,0.6755,0.3767,1.0522
7000.0,0.6844,0.3775,1.0619
7100.0,0.6789,0.3781,1.057
7200.0,0.669,0.373,1.042
7300.0,0.6725,0.3731,1.0455999999999999
7400.0,0.6772,0.3774,1.0546
7500.0,0.6677,0.3747,1.0424
7600.0,0.6713,0.3737,1.045
7700.0,0.6693,0.3742,1.0434999999999999
7800.0,0.6705,0.3738,1.0443
7900.0,0.6724,0.3769,1.0493000000000001
8000.0,0.6701,0.3743,1.0444
8100.0,0.6709,0.3732,1.0441
8200.0,0.6732,0.3755,1.0487
8300.0,0.6715,0.3743,1.0458
8400.0,0.6641,0.374,1.0381
8500.0,0.6656,0.3723,1.0379
8600.0,0.6674,0.3756,1.043
8700.0,0.6673,0.3758,1.0431
8800.0,0.6646,0.3723,1.0369
8900.0,0.6655,0.3722,1.0377
9000.0,0.6571,0.3743,1.0314
9100.0,0.6619,0.3738,1.0357
9200.0,0.6649,0.3719,1.0368
9300.0,0.6645,0.3736,1.0381
9400.0,0.6597,0.3744,1.0341
9500.0,0.6545,0.3708,1.0253
9600.0,0.6581,0.3739,1.032
9700.0,0.663,0.3731,1.0361
9800.0,0.6588,0.373,1.0318
9900.0,0.6588,0.3712,1.03
